Ajatempel (UTC);Kuupäev (Eesti aeg);NPS Eesti
1712642400;09.04.2024 09:00;77,86
1712646000;09.04.2024 10:00;65,78
1712649600;09.04.2024 11:00;54,14
1712653200;09.04.2024 12:00;45,07
1712656800;09.04.2024 13:00;37,53
1712660400;09.04.2024 14:00;30,04
1712664000;09.04.2024 15:00;26,93
1712667600;09.04.2024 16:00;34,41
1712671200;09.04.2024 17:00;40,36
1712674800;09.04.2024 18:00;49,29
1712678400;09.04.2024 19:00;98,13
1712682000;09.04.2024 20:00;107,43
1712685600;09.04.2024 21:00;102,15
1712689200;09.04.2024 22:00;48,22
1712692800;09.04.2024 23:00;32,89
1712696400;10.04.2024 00:00;5,1
1712700000;10.04.2024 01:00;22,24
1712703600;10.04.2024 02:00;4,1
1712707200;10.04.2024 03:00;4,06
1712710800;10.04.2024 04:00;4,08
1712714400;10.04.2024 05:00;24,66
1712718000;10.04.2024 06:00;15,08
1712721600;10.04.2024 07:00;76,02
1712725200;10.04.2024 08:00;99,63
1712728800;10.04.2024 09:00;70,09
1712732400;10.04.2024 10:00;70,01
1712736000;10.04.2024 11:00;1,5
1712739600;10.04.2024 12:00;0,42
1712743200;10.04.2024 13:00;0,65
1712746800;10.04.2024 14:00;0,47
1712750400;10.04.2024 15:00;0,67
1712754000;10.04.2024 16:00;0,3
1712757600;10.04.2024 17:00;0,44
1712761200;10.04.2024 18:00;0,45
1712764800;10.04.2024 19:00;4,01
1712768400;10.04.2024 20:00;4,03
1712772000;10.04.2024 21:00;4,01
1712775600;10.04.2024 22:00;0,43
1712779200;10.04.2024 23:00;0,4
1712782800;11.04.2024 00:00;0,44
1712786400;11.04.2024 01:00;-2
1712790000;11.04.2024 02:00;0,21
1712793600;11.04.2024 03:00;0,23
1712797200;11.04.2024 04:00;0,25
1712800800;11.04.2024 05:00;0,24
1712804400;11.04.2024 06:00;0,63
1712808000;11.04.2024 07:00;4,06
1712811600;11.04.2024 08:00;12,57
1712815200;11.04.2024 09:00;24,71
1712818800;11.04.2024 10:00;24,19
1712822400;11.04.2024 11:00;7,2
1712826000;11.04.2024 12:00;0,32
1712829600;11.04.2024 13:00;0,23
1712833200;11.04.2024 14:00;0,26
1712836800;11.04.2024 15:00;0,27
1712840400;11.04.2024 16:00;4,2
1712844000;11.04.2024 17:00;8,68
1712847600;11.04.2024 18:00;22,29
1712851200;11.04.2024 19:00;25,6
1712854800;11.04.2024 20:00;25,39
1712858400;11.04.2024 21:00;21
1712862000;11.04.2024 22:00;18,82
1712865600;11.04.2024 23:00;4,94
1712869200;12.04.2024 00:00;3,46
1712872800;12.04.2024 01:00;4,16
1712876400;12.04.2024 02:00;4,15
1712880000;12.04.2024 03:00;4,37
1712883600;12.04.2024 04:00;4,93
1712887200;12.04.2024 05:00;15,56
1712890800;12.04.2024 06:00;27,51
1712894400;12.04.2024 07:00;39,52
1712898000;12.04.2024 08:00;48,61
1712901600;12.04.2024 09:00;69,27
1712905200;12.04.2024 10:00;65,59
1712908800;12.04.2024 11:00;42,16
1712912400;12.04.2024 12:00;24,94
1712916000;12.04.2024 13:00;20,09
1712919600;12.04.2024 14:00;4,98
1712923200;12.04.2024 15:00;0,81
1712926800;12.04.2024 16:00;0,43
1712930400;12.04.2024 17:00;28,98
1712934000;12.04.2024 18:00;39,4
1712937600;12.04.2024 19:00;45,26
1712941200;12.04.2024 20:00;103,96
1712944800;12.04.2024 21:00;90,09
1712948400;12.04.2024 22:00;30,74
1712952000;12.04.2024 23:00;48,07
1712955600;13.04.2024 00:00;18,04
1712959200;13.04.2024 01:00;3
1712962800;13.04.2024 02:00;0,81
1712966400;13.04.2024 03:00;1
1712970000;13.04.2024 04:00;2,98
1712973600;13.04.2024 05:00;4,1
1712977200;13.04.2024 06:00;10,01
1712980800;13.04.2024 07:00;27,83
1712984400;13.04.2024 08:00;35,35
1712988000;13.04.2024 09:00;22,47
1712991600;13.04.2024 10:00;8,8
1712995200;13.04.2024 11:00;0,21
1712998800;13.04.2024 12:00;-0,03
1713002400;13.04.2024 13:00;0
1713006000;13.04.2024 14:00;-0,06
1713009600;13.04.2024 15:00;-0,21
1713013200;13.04.2024 16:00;-0,01
1713016800;13.04.2024 17:00;0
1713020400;13.04.2024 18:00;2
1713024000;13.04.2024 19:00;36,97
1713027600;13.04.2024 20:00;52,66
1713031200;13.04.2024 21:00;40,03
1713034800;13.04.2024 22:00;34,65
1713038400;13.04.2024 23:00;20,6
1713042000;14.04.2024 00:00;7,05
1713045600;14.04.2024 01:00;0,43
1713049200;14.04.2024 02:00;0,83
1713052800;14.04.2024 03:00;0,91
1713056400;14.04.2024 04:00;0,42
1713060000;14.04.2024 05:00;0,49
1713063600;14.04.2024 06:00;2,91
1713067200;14.04.2024 07:00;12,55
1713070800;14.04.2024 08:00;13
1713074400;14.04.2024 09:00;16,17
1713078000;14.04.2024 10:00;25,72
1713081600;14.04.2024 11:00;3,01
1713085200;14.04.2024 12:00;3
1713088800;14.04.2024 13:00;20,01
1713092400;14.04.2024 14:00;0
1713096000;14.04.2024 15:00;-10
1713099600;14.04.2024 16:00;-10
1713103200;14.04.2024 17:00;-6,25
1713106800;14.04.2024 18:00;1,57
1713110400;14.04.2024 19:00;21,1
1713114000;14.04.2024 20:00;13,94
1713117600;14.04.2024 21:00;1,45
1713121200;14.04.2024 22:00;0
1713124800;14.04.2024 23:00;-0,05
1713128400;15.04.2024 00:00;-0,15
1713132000;15.04.2024 01:00;-1,73
1713135600;15.04.2024 02:00;-1,69
1713139200;15.04.2024 03:00;-0,58
1713142800;15.04.2024 04:00;-0,06
1713146400;15.04.2024 05:00;0,24
1713150000;15.04.2024 06:00;50,06
1713153600;15.04.2024 07:00;112,95
1713157200;15.04.2024 08:00;145,16
1713160800;15.04.2024 09:00;149,56
1713164400;15.04.2024 10:00;89,39
1713168000;15.04.2024 11:00;76,24
1713171600;15.04.2024 12:00;57
1713175200;15.04.2024 13:00;43
1713178800;15.04.2024 14:00;32,89
1713182400;15.04.2024 15:00;19,5
1713186000;15.04.2024 16:00;29,94
1713189600;15.04.2024 17:00;35,58
1713193200;15.04.2024 18:00;80,09
1713196800;15.04.2024 19:00;124,48
1713200400;15.04.2024 20:00;135,2
1713204000;15.04.2024 21:00;136,49
1713207600;15.04.2024 22:00;114,51
1713211200;15.04.2024 23:00;93,23
1713214800;16.04.2024 00:00;87,87
1713218400;16.04.2024 01:00;42,02
1713222000;16.04.2024 02:00;42,01
1713225600;16.04.2024 03:00;34,09
1713229200;16.04.2024 04:00;42,01
1713232800;16.04.2024 05:00;42,06
1713236400;16.04.2024 06:00;78,05
1713240000;16.04.2024 07:00;74,15
1713243600;16.04.2024 08:00;132
1713247200;16.04.2024 09:00;79,61
1713250800;16.04.2024 10:00;71,42
1713254400;16.04.2024 11:00;71,55
1713258000;16.04.2024 12:00;55,01
1713261600;16.04.2024 13:00;43,3
1713265200;16.04.2024 14:00;42,37
1713268800;16.04.2024 15:00;44,14
1713272400;16.04.2024 16:00;51,36
1713276000;16.04.2024 17:00;66,21
1713279600;16.04.2024 18:00;83,39
1713283200;16.04.2024 19:00;96,18
1713286800;16.04.2024 20:00;116
1713290400;16.04.2024 21:00;124,52
1713294000;16.04.2024 22:00;112,24
1713297600;16.04.2024 23:00;95,2
1713301200;17.04.2024 00:00;84,1
1713304800;17.04.2024 01:00;81,83
1713308400;17.04.2024 02:00;81,83
1713312000;17.04.2024 03:00;71,82
1713315600;17.04.2024 04:00;77,51
1713319200;17.04.2024 05:00;87,61
1713322800;17.04.2024 06:00;85,62
1713326400;17.04.2024 07:00;109,39
1713330000;17.04.2024 08:00;165,89
1713333600;17.04.2024 09:00;151,45
1713337200;17.04.2024 10:00;100,96
1713340800;17.04.2024 11:00;81,89
1713344400;17.04.2024 12:00;78,36
1713348000;17.04.2024 13:00;80,3
1713351600;17.04.2024 14:00;78,81
1713355200;17.04.2024 15:00;75,66
1713358800;17.04.2024 16:00;75,18
1713362400;17.04.2024 17:00;78,5
1713366000;17.04.2024 18:00;86,9
1713369600;17.04.2024 19:00;119,82
1713373200;17.04.2024 20:00;151,23
1713376800;17.04.2024 21:00;165,82
1713380400;17.04.2024 22:00;130,06
1713384000;17.04.2024 23:00;99,04
1713387600;18.04.2024 00:00;91,27
1713391200;18.04.2024 01:00;91,8
1713394800;18.04.2024 02:00;85,9
1713398400;18.04.2024 03:00;86,12
1713402000;18.04.2024 04:00;85,65
1713405600;18.04.2024 05:00;88,85
1713409200;18.04.2024 06:00;93,47
1713412800;18.04.2024 07:00;124,66
1713416400;18.04.2024 08:00;155,8
1713420000;18.04.2024 09:00;131,19
1713423600;18.04.2024 10:00;101,12
1713427200;18.04.2024 11:00;90,21
1713430800;18.04.2024 12:00;83,87
1713434400;18.04.2024 13:00;80,64
1713438000;18.04.2024 14:00;77,2
1713441600;18.04.2024 15:00;73,01
1713445200;18.04.2024 16:00;70,7
1713448800;18.04.2024 17:00;72,04
1713452400;18.04.2024 18:00;90,2
1713456000;18.04.2024 19:00;115,27
1713459600;18.04.2024 20:00;130,93
1713463200;18.04.2024 21:00;136,35
1713466800;18.04.2024 22:00;112,86
1713470400;18.04.2024 23:00;90,03
1713474000;19.04.2024 00:00;81,79
1713477600;19.04.2024 01:00;88,18
1713481200;19.04.2024 02:00;63,78
1713484800;19.04.2024 03:00;50,86
1713488400;19.04.2024 04:00;49,47
1713492000;19.04.2024 05:00;60,03
1713495600;19.04.2024 06:00;90,41
1713499200;19.04.2024 07:00;118,21
1713502800;19.04.2024 08:00;110,2
1713506400;19.04.2024 09:00;95,07
1713510000;19.04.2024 10:00;81,26
1713513600;19.04.2024 11:00;61,27
1713517200;19.04.2024 12:00;57,28
1713520800;19.04.2024 13:00;52,16
1713524400;19.04.2024 14:00;48,67
1713528000;19.04.2024 15:00;46,38
1713531600;19.04.2024 16:00;50,47
1713535200;19.04.2024 17:00;95,4
1713538800;19.04.2024 18:00;115,41
1713542400;19.04.2024 19:00;121,8
1713546000;19.04.2024 20:00;132,72
1713549600;19.04.2024 21:00;133,68
1713553200;19.04.2024 22:00;123,49
1713556800;19.04.2024 23:00;108,49
1713560400;20.04.2024 00:00;90,46
1713564000;20.04.2024 01:00;87,51
1713567600;20.04.2024 02:00;75,28
1713571200;20.04.2024 03:00;59,37
1713574800;20.04.2024 04:00;58,53
1713578400;20.04.2024 05:00;61,67
1713582000;20.04.2024 06:00;63,04
1713585600;20.04.2024 07:00;81,9
1713589200;20.04.2024 08:00;79,8
1713592800;20.04.2024 09:00;65,33
1713596400;20.04.2024 10:00;59,4
1713600000;20.04.2024 11:00;50,65
1713603600;20.04.2024 12:00;38,84
1713607200;20.04.2024 13:00;29,24
1713610800;20.04.2024 14:00;12,33
1713614400;20.04.2024 15:00;10,55
1713618000;20.04.2024 16:00;18,33
1713621600;20.04.2024 17:00;37,53
1713625200;20.04.2024 18:00;63,11
1713628800;20.04.2024 19:00;86,7
1713632400;20.04.2024 20:00;97,01
1713636000;20.04.2024 21:00;111,23
1713639600;20.04.2024 22:00;100,43
1713643200;20.04.2024 23:00;86,07
1713646800;21.04.2024 00:00;82,9
1713650400;21.04.2024 01:00;86,6
1713654000;21.04.2024 02:00;78,27
1713657600;21.04.2024 03:00;69,53
1713661200;21.04.2024 04:00;65,21
1713664800;21.04.2024 05:00;65,08
1713668400;21.04.2024 06:00;64,28
1713672000;21.04.2024 07:00;70,07
1713675600;21.04.2024 08:00;60,53
1713679200;21.04.2024 09:00;60,88
1713682800;21.04.2024 10:00;54,73
1713686400;21.04.2024 11:00;43,29
1713690000;21.04.2024 12:00;42,47
1713693600;21.04.2024 13:00;43,94
1713697200;21.04.2024 14:00;42,14
1713700800;21.04.2024 15:00;41,48
1713704400;21.04.2024 16:00;41,93
1713708000;21.04.2024 17:00;47,7
1713711600;21.04.2024 18:00;58,68
1713715200;21.04.2024 19:00;78,98
1713718800;21.04.2024 20:00;89,36
1713722400;21.04.2024 21:00;95,26
1713726000;21.04.2024 22:00;91,07
1713729600;21.04.2024 23:00;84,63
1713733200;22.04.2024 00:00;85,65
1713736800;22.04.2024 01:00;77,08
1713740400;22.04.2024 02:00;69,99
1713744000;22.04.2024 03:00;64,55
1713747600;22.04.2024 04:00;64,38
1713751200;22.04.2024 05:00;69,51
1713754800;22.04.2024 06:00;85,4
1713758400;22.04.2024 07:00;105,9
1713762000;22.04.2024 08:00;130,79
1713765600;22.04.2024 09:00;117,46
1713769200;22.04.2024 10:00;97,05
1713772800;22.04.2024 11:00;82,55
1713776400;22.04.2024 12:00;81,97
1713780000;22.04.2024 13:00;77,5
1713783600;22.04.2024 14:00;73,71
1713787200;22.04.2024 15:00;74,13
1713790800;22.04.2024 16:00;78,6
1713794400;22.04.2024 17:00;85
1713798000;22.04.2024 18:00;96,79
1713801600;22.04.2024 19:00;118,2
1713805200;22.04.2024 20:00;164,05
1713808800;22.04.2024 21:00;170,96
1713812400;22.04.2024 22:00;130,05
1713816000;22.04.2024 23:00;105,77
1713819600;23.04.2024 00:00;96,99
1713823200;23.04.2024 01:00;88,32
1713826800;23.04.2024 02:00;86,69
1713830400;23.04.2024 03:00;85,95
1713834000;23.04.2024 04:00;85,42
1713837600;23.04.2024 05:00;86,35
1713841200;23.04.2024 06:00;100,31
1713844800;23.04.2024 07:00;121,97
1713848400;23.04.2024 08:00;183,15
1713852000;23.04.2024 09:00;136,28
1713855600;23.04.2024 10:00;98,38
1713859200;23.04.2024 11:00;82,87
1713862800;23.04.2024 12:00;77,26
1713866400;23.04.2024 13:00;80,55
1713870000;23.04.2024 14:00;80,14
1713873600;23.04.2024 15:00;78,62
1713877200;23.04.2024 16:00;80,6
1713880800;23.04.2024 17:00;95
1713884400;23.04.2024 18:00;112,64
1713888000;23.04.2024 19:00;122,44
1713891600;23.04.2024 20:00;140,09
1713895200;23.04.2024 21:00;145,2
1713898800;23.04.2024 22:00;125,15
1713902400;23.04.2024 23:00;99,31
1713906000;24.04.2024 00:00;82,6
1713909600;24.04.2024 01:00;86,83
1713913200;24.04.2024 02:00;84,65
1713916800;24.04.2024 03:00;81,85
1713920400;24.04.2024 04:00;83,97
1713924000;24.04.2024 05:00;86,12
1713927600;24.04.2024 06:00;91,22
1713931200;24.04.2024 07:00;115,63
1713934800;24.04.2024 08:00;131,32
1713938400;24.04.2024 09:00;129,23
