Ajatempel (UTC);Kuupäev (Eesti aeg);NPS Eesti
1720670400;11.07.2024 07:00;123,6
1720674000;11.07.2024 08:00;120,23
1720677600;11.07.2024 09:00;106,53
1720681200;11.07.2024 10:00;89,89
1720684800;11.07.2024 11:00;80,94
1720688400;11.07.2024 12:00;68,42
1720692000;11.07.2024 13:00;60,34
1720695600;11.07.2024 14:00;50
1720699200;11.07.2024 15:00;83,79
1720702800;11.07.2024 16:00;72,95
1720706400;11.07.2024 17:00;93,26
1720710000;11.07.2024 18:00;129,32
1720713600;11.07.2024 19:00;150,08
1720717200;11.07.2024 20:00;250,07
1720720800;11.07.2024 21:00;265,65
1720724400;11.07.2024 22:00;239,99
1720728000;11.07.2024 23:00;121,59
1720731600;12.07.2024 00:00;180,73
1720735200;12.07.2024 01:00;142,2
1720738800;12.07.2024 02:00;107,42
1720742400;12.07.2024 03:00;95,26
1720746000;12.07.2024 04:00;92,5
1720749600;12.07.2024 05:00;94,14
1720753200;12.07.2024 06:00;100,34
1720756800;12.07.2024 07:00;138,81
1720760400;12.07.2024 08:00;157,28
1720764000;12.07.2024 09:00;121,29
1720767600;12.07.2024 10:00;200
1720771200;12.07.2024 11:00;96,48
1720774800;12.07.2024 12:00;91,48
1720778400;12.07.2024 13:00;86,92
1720782000;12.07.2024 14:00;83,7
1720785600;12.07.2024 15:00;83,7
1720789200;12.07.2024 16:00;83,7
1720792800;12.07.2024 17:00;112,95
1720796400;12.07.2024 18:00;128,68
1720800000;12.07.2024 19:00;111,9
1720803600;12.07.2024 20:00;189,99
1720807200;12.07.2024 21:00;200,01
1720810800;12.07.2024 22:00;200,04
1720814400;12.07.2024 23:00;140,77
1720818000;13.07.2024 00:00;114,72
1720821600;13.07.2024 01:00;157,86
1720825200;13.07.2024 02:00;83,99
1720828800;13.07.2024 03:00;17,38
1720832400;13.07.2024 04:00;34,7
1720836000;13.07.2024 05:00;51,66
1720839600;13.07.2024 06:00;50,25
1720843200;13.07.2024 07:00;47,07
1720846800;13.07.2024 08:00;45,11
1720850400;13.07.2024 09:00;26,6
1720854000;13.07.2024 10:00;20,97
1720857600;13.07.2024 11:00;5,17
1720861200;13.07.2024 12:00;2,99
1720864800;13.07.2024 13:00;7,73
1720868400;13.07.2024 14:00;0,01
1720872000;13.07.2024 15:00;4,1
1720875600;13.07.2024 16:00;4,58
1720879200;13.07.2024 17:00;14,18
1720882800;13.07.2024 18:00;47,75
1720886400;13.07.2024 19:00;108,49
1720890000;13.07.2024 20:00;181,4
1720893600;13.07.2024 21:00;213,19
1720897200;13.07.2024 22:00;180,05
1720900800;13.07.2024 23:00;140
1720904400;14.07.2024 00:00;109,13
1720908000;14.07.2024 01:00;105,49
1720911600;14.07.2024 02:00;85,51
1720915200;14.07.2024 03:00;71,72
1720918800;14.07.2024 04:00;62,54
1720922400;14.07.2024 05:00;19,41
1720926000;14.07.2024 06:00;18,53
1720929600;14.07.2024 07:00;16,67
1720933200;14.07.2024 08:00;14,28
1720936800;14.07.2024 09:00;3
1720940400;14.07.2024 10:00;2,99
1720944000;14.07.2024 11:00;57,99
1720947600;14.07.2024 12:00;4,99
1720951200;14.07.2024 13:00;4,99
1720954800;14.07.2024 14:00;5
1720958400;14.07.2024 15:00;5,09
1720962000;14.07.2024 16:00;5,07
1720965600;14.07.2024 17:00;16,02
1720969200;14.07.2024 18:00;35,06
1720972800;14.07.2024 19:00;145,21
1720976400;14.07.2024 20:00;192,2
1720980000;14.07.2024 21:00;206,73
1720983600;14.07.2024 22:00;205,4
1720987200;14.07.2024 23:00;137,05
1720990800;15.07.2024 00:00;106,77
1720994400;15.07.2024 01:00;136,03
1720998000;15.07.2024 02:00;110,88
1721001600;15.07.2024 03:00;97,59
1721005200;15.07.2024 04:00;84,49
1721008800;15.07.2024 05:00;84,5
1721012400;15.07.2024 06:00;136,09
1721016000;15.07.2024 07:00;138,52
1721019600;15.07.2024 08:00;154,55
1721023200;15.07.2024 09:00;120,08
1721026800;15.07.2024 10:00;84,5
1721030400;15.07.2024 11:00;84,5
1721034000;15.07.2024 12:00;36,73
1721037600;15.07.2024 13:00;66,24
1721041200;15.07.2024 14:00;48,95
1721044800;15.07.2024 15:00;72,18
1721048400;15.07.2024 16:00;78,63
1721052000;15.07.2024 17:00;109,61
1721055600;15.07.2024 18:00;160,02
1721059200;15.07.2024 19:00;160,01
1721062800;15.07.2024 20:00;289,99
1721066400;15.07.2024 21:00;300
1721070000;15.07.2024 22:00;250,04
1721073600;15.07.2024 23:00;100,08
1721077200;16.07.2024 00:00;84,5
1721080800;16.07.2024 01:00;117,63
1721084400;16.07.2024 02:00;97,84
1721088000;16.07.2024 03:00;90,07
1721091600;16.07.2024 04:00;60,04
1721095200;16.07.2024 05:00;24,78
1721098800;16.07.2024 06:00;120
1721102400;16.07.2024 07:00;122,65
1721106000;16.07.2024 08:00;121,79
1721109600;16.07.2024 09:00;107,34
1721113200;16.07.2024 10:00;81,84
1721116800;16.07.2024 11:00;76,3
1721120400;16.07.2024 12:00;84,8
1721124000;16.07.2024 13:00;102,7
1721127600;16.07.2024 14:00;110,1
1721131200;16.07.2024 15:00;117,35
1721134800;16.07.2024 16:00;84,79
1721138400;16.07.2024 17:00;114,19
1721142000;16.07.2024 18:00;132,82
1721145600;16.07.2024 19:00;149,04
1721149200;16.07.2024 20:00;189,99
1721152800;16.07.2024 21:00;150,1
1721156400;16.07.2024 22:00;111,54
1721160000;16.07.2024 23:00;120,01
1721163600;17.07.2024 00:00;100,25
1721167200;17.07.2024 01:00;116,17
1721170800;17.07.2024 02:00;83,7
1721174400;17.07.2024 03:00;84,44
1721178000;17.07.2024 04:00;83,07
1721181600;17.07.2024 05:00;80,67
1721185200;17.07.2024 06:00;91,52
1721188800;17.07.2024 07:00;133,74
1721192400;17.07.2024 08:00;128,3
1721196000;17.07.2024 09:00;105,7
1721199600;17.07.2024 10:00;82,14
1721203200;17.07.2024 11:00;67,1
1721206800;17.07.2024 12:00;56,97
1721210400;17.07.2024 13:00;69,71
1721214000;17.07.2024 14:00;66,82
1721217600;17.07.2024 15:00;76,2
1721221200;17.07.2024 16:00;77,37
1721224800;17.07.2024 17:00;82,14
1721228400;17.07.2024 18:00;115,03
1721232000;17.07.2024 19:00;115,02
1721235600;17.07.2024 20:00;140,01
1721239200;17.07.2024 21:00;140,01
1721242800;17.07.2024 22:00;140,06
1721246400;17.07.2024 23:00;115,08
1721250000;18.07.2024 00:00;160,02
1721253600;18.07.2024 01:00;132,65
1721257200;18.07.2024 02:00;98,33
1721260800;18.07.2024 03:00;89,1
1721264400;18.07.2024 04:00;87,66
1721268000;18.07.2024 05:00;86,51
1721271600;18.07.2024 06:00;101,89
1721275200;18.07.2024 07:00;127,07
1721278800;18.07.2024 08:00;117,62
1721282400;18.07.2024 09:00;97,58
1721286000;18.07.2024 10:00;78,97
