Ajatempel (UTC);Kuupäev (Eesti aeg);NPS Eesti
1704999600;11.01.2024 21:00;123,51
1705003200;11.01.2024 22:00;108,2
1705006800;11.01.2024 23:00;100
1705010400;12.01.2024 00:00;96,97
1705014000;12.01.2024 01:00;90,94
1705017600;12.01.2024 02:00;88,13
1705021200;12.01.2024 03:00;86,3
1705024800;12.01.2024 04:00;86,85
1705028400;12.01.2024 05:00;92,24
1705032000;12.01.2024 06:00;103,41
1705035600;12.01.2024 07:00;124,5
1705039200;12.01.2024 08:00;137,15
1705042800;12.01.2024 09:00;140,74
1705046400;12.01.2024 10:00;134,96
1705050000;12.01.2024 11:00;150,03
1705053600;12.01.2024 12:00;136,48
1705057200;12.01.2024 13:00;124,57
1705060800;12.01.2024 14:00;124,32
1705064400;12.01.2024 15:00;150,51
1705068000;12.01.2024 16:00;203
1705071600;12.01.2024 17:00;299,02
1705075200;12.01.2024 18:00;200,01
1705078800;12.01.2024 19:00;155
1705082400;12.01.2024 20:00;122,84
1705086000;12.01.2024 21:00;108,87
1705089600;12.01.2024 22:00;98,66
1705093200;12.01.2024 23:00;93,57
1705096800;13.01.2024 00:00;85,15
1705100400;13.01.2024 01:00;75,64
1705104000;13.01.2024 02:00;74,85
1705107600;13.01.2024 03:00;73,65
1705111200;13.01.2024 04:00;71,37
1705114800;13.01.2024 05:00;72,24
1705118400;13.01.2024 06:00;74,33
1705122000;13.01.2024 07:00;79,34
1705125600;13.01.2024 08:00;79,49
1705129200;13.01.2024 09:00;80,19
1705132800;13.01.2024 10:00;80,2
1705136400;13.01.2024 11:00;80,19
1705140000;13.01.2024 12:00;74,18
1705143600;13.01.2024 13:00;70,66
1705147200;13.01.2024 14:00;67,51
1705150800;13.01.2024 15:00;75,51
1705154400;13.01.2024 16:00;80,18
1705158000;13.01.2024 17:00;80,19
1705161600;13.01.2024 18:00;79,09
1705165200;13.01.2024 19:00;79,09
1705168800;13.01.2024 20:00;73,82
1705172400;13.01.2024 21:00;73,06
1705176000;13.01.2024 22:00;80,19
1705179600;13.01.2024 23:00;67,35
1705183200;14.01.2024 00:00;61,65
1705186800;14.01.2024 01:00;64,02
1705190400;14.01.2024 02:00;62,11
1705194000;14.01.2024 03:00;62,93
1705197600;14.01.2024 04:00;64,88
1705201200;14.01.2024 05:00;65,38
1705204800;14.01.2024 06:00;65,2
1705208400;14.01.2024 07:00;67,62
1705212000;14.01.2024 08:00;72,01
1705215600;14.01.2024 09:00;76,79
1705219200;14.01.2024 10:00;81,38
1705222800;14.01.2024 11:00;81,33
1705226400;14.01.2024 12:00;82,79
1705230000;14.01.2024 13:00;81,07
1705233600;14.01.2024 14:00;77,04
1705237200;14.01.2024 15:00;79,15
1705240800;14.01.2024 16:00;82,32
1705244400;14.01.2024 17:00;86,62
1705248000;14.01.2024 18:00;91,86
1705251600;14.01.2024 19:00;94,64
1705255200;14.01.2024 20:00;85,26
1705258800;14.01.2024 21:00;79,06
1705262400;14.01.2024 22:00;78,41
1705266000;14.01.2024 23:00;74,67
1705269600;15.01.2024 00:00;66,89
1705273200;15.01.2024 01:00;69,65
1705276800;15.01.2024 02:00;66,05
1705280400;15.01.2024 03:00;64,31
1705284000;15.01.2024 04:00;62,04
1705287600;15.01.2024 05:00;63,57
1705291200;15.01.2024 06:00;70,57
1705294800;15.01.2024 07:00;85,79
1705298400;15.01.2024 08:00;113,52
1705302000;15.01.2024 09:00;111,04
1705305600;15.01.2024 10:00;128,06
1705309200;15.01.2024 11:00;101,89
1705312800;15.01.2024 12:00;129,02
1705316400;15.01.2024 13:00;129,08
1705320000;15.01.2024 14:00;129,08
1705323600;15.01.2024 15:00;123,78
1705327200;15.01.2024 16:00;108,28
1705330800;15.01.2024 17:00;110,02
1705334400;15.01.2024 18:00;109,08
1705338000;15.01.2024 19:00;115,57
1705341600;15.01.2024 20:00;110,66
1705345200;15.01.2024 21:00;103,15
